date,discharge
1/5/2014,4.75776
1/6/2014,4.75776
1/7/2014,4.75776
1/8/2014,4.779
1/9/2014,4.75776
1/10/2014,4.71528
1/11/2014,6.0888
1/12/2014,6.14544
1/13/2014,6.11712
1/14/2014,6.20208
1/15/2014,6.17376
1/16/2014,6.0888
1/17/2014,6.00384
1/18/2014,6.00384
1/19/2014,6.0888
1/20/2014,6.11712
1/21/2014,6.17376
1/22/2014,4.6728
1/23/2014,4.69404
1/24/2014,4.6728
1/25/2014,6.20208
1/26/2014,4.71528
1/27/2014,4.6728
1/28/2014,4.73652
1/29/2014,4.779
1/30/2014,4.779
1/31/2014,4.779
1/1/2015,4.75776
1/2/2015,4.6728
1/3/2015,6.14544
1/4/2015,6.00384
1/5/2015,6.00384
1/6/2015,6.00384
1/7/2015,6.03216
1/8/2015,6.00384
1/9/2015,5.91888
1/10/2015,6.06048
1/11/2015,4.69404
1/12/2015,4.9914
1/13/2015,5.86224
1/14/2015,17.05572
1/15/2015,17.67168
1/16/2015,12.68028
1/17/2015,9.30312
1/18/2015,7.71012
1/19/2015,6.6906
1/20/2015,6.1596
1/21/2015,5.841
1/22/2015,5.56488
1/23/2015,5.37372
1/24/2015,5.16132
1/25/2015,4.97016
1/26/2015,4.80024
1/27/2015,4.73652
1/28/2015,6.17376
1/29/2015,6.14544
1/30/2015,4.8852
1/31/2015,10.85364
1/1/2016,5.57904
1/2/2016,5.55072
1/3/2016,5.5224
1/4/2016,5.55072
1/5/2016,5.57904
1/6/2016,4.80024
1/7/2016,13.25376
1/8/2016,13.95468
1/9/2016,10.06776
1/10/2016,7.79508
1/11/2016,6.64812
1/12/2016,6.13836
1/13/2016,5.69232
1/14/2016,5.4162
1/15/2016,5.35248
1/16/2016,5.47992
1/17/2016,5.39496
1/18/2016,5.07636
1/19/2016,5.05512
1/20/2016,5.33124
1/21/2016,5.71356
1/22/2016,7.13664
1/23/2016,7.0092
1/24/2016,6.96672
1/25/2016,7.49772
1/26/2016,7.6464
1/27/2016,6.77556
1/28/2016,6.0534
1/29/2016,5.5224
1/30/2016,5.841
1/31/2016,6.39324
1/1/2017,105.7752
1/2/2017,107.4744
1/3/2017,56.4984
1/4/2017,30.1608
1/5/2017,21.09132
1/6/2017,32.2848
1/7/2017,43.542
1/8/2017,22.5144
1/9/2017,15.95124
1/10/2017,20.4966
1/11/2017,32.0724
1/12/2017,24.426
1/13/2017,17.54424
1/14/2017,13.21128
1/15/2017,25.488
1/16/2017,35.2584
1/17/2017,34.6212
1/18/2017,20.26296
1/19/2017,13.74228
1/20/2017,10.95984
1/21/2017,21.4524
1/22/2017,25.7004
1/23/2017,16.33356
1/24/2017,22.302
1/25/2017,18.9036
1/26/2017,16.20612
1/27/2017,12.99888
1/28/2017,10.45008
1/29/2017,8.89956
1/30/2017,8.26236
1/31/2017,11.10852
1/1/2018,5.46576
1/2/2018,5.49408
1/3/2018,5.57904
1/4/2018,5.60736
1/5/2018,5.5224
1/6/2018,5.55072
1/7/2018,5.49408
1/8/2018,5.40912
1/9/2018,5.46576
1/10/2018,6.00384
1/11/2018,5.86224
1/12/2018,4.82148
1/13/2018,5.89056
1/14/2018,5.74896
1/15/2018,5.664
1/16/2018,5.60736
1/17/2018,5.49408
1/18/2018,5.40912
1/19/2018,5.40912
1/20/2018,5.3808
1/21/2018,5.43744
1/22/2018,5.49408
1/23/2018,5.49408
1/24/2018,5.43744
1/25/2018,5.3808
1/26/2018,5.35248
1/27/2018,5.32416
1/28/2018,5.32416
1/29/2018,5.32416
1/30/2018,5.26752
1/31/2018,4.92768
2/1/1989,5.83392
2/2/1989,5.664
2/3/1989,5.55072
2/4/1989,5.8056
2/5/1989,6.0888
2/6/1989,5.9472
2/7/1989,6.28704
2/8/1989,6.06048
